05.06.98-exp-1	هی … اسباب‌بازی
10.07.98-exp-116	این در حالی است که اخیراً روزنامه واشنگتن پست گزارش داد :
10.07.98-exp-117	ترامپ جزئیات دیدارش با ولادیمیر پوتین ، رئیس جمهور روسیه را از مقامات دولت خود پنهان کرده
10.07.98-exp-118	نیویورک تایمز نیز گزارش داد
10.07.98-exp-119	اف‌بی‌آی ، پلیس فدرال آمریکا ، تحقیقاتی را درباره‌ی همکاری مخفیانه‌ی رئیس جمهور آمریکا با روسیه آغاز کرده است .
10.07.98-exp-12	در سفر هیئت عالی‌رتبه‌ی نظامی جمهوری اسلامی ایران با همتایان خود در جمهوری آذربایجان خواهد بود .
10.07.98-exp-120	یک مقام ارشد دولت آمریکا به سی‌ان‌ان گفت :
10.07.98-exp-121	مقامات دولتی در طول سال گذشته در تلاش بودند تا ترامپ را متقاعد به پای‌بندی به ناتو کنند .
10.07.98-exp-122	به ادعای سی‌ان‌ان ، تضعیف ناتو یکی از اهداف دراز مدت پوتین بوده
10.07.98-exp-123	خروج آمریکا از این پیمان برای رئیس جمهور روسیه بسیار ایده‌ال است .
10.07.98-exp-124	ترامپ سال گذشته‌ی میلادی در نشست ناتو در بروکسل حضور یافت
10.07.98-exp-125	هم‌زمان کنگره‌ی این کشور پیش‌نهاد حمایت از ناتو را مورد تائید قرار داد .
10.07.98-exp-126	ترامپ سال گذشته در آستانه‌ی نشست ناتو در بروکسل رهبران کشورهای عضو ناتو را تهدید کرده بود
10.07.98-exp-127	اگر کشورهای عضو این سازمان ، سهم بودجه خود را افزایش ندهند ، آمریکا در این اتحاد نظامی تجدیدنظر می‌کند .
10.07.98-exp-128	نظرسنجی سال دو هزار و هفده گالوپ نشان داد هشتاد درصد از مردم آمریکا خواهان حفظ پیمان ناتو بودند .
10.07.98-exp-129	بر اساس نظرسنجی ژوئیه سال دو هزار و هجده ،
10.07.98-exp-13	الحاق ناوشکن پیشرفته‌ی سهند به ناوگان نیروی دریایی ارتش
10.07.98-exp-130	ترامپ باید در صورت لزوم از تمام متحدان عضو ناتوی این کشور دفاع کند .
10.07.98-exp-131	خروج از پیمان‌های بین‌المللی برای رئیس جمهور آمریکا تبدیل به یک رویه معمول شده است .
10.07.98-exp-132	او پیش از این از توافق هسته‌ای با ایران ، پیمان یونسکو و پیمان تجارت آسیا و اقیانوس آرام نیز خارج شده است .
10.07.98-exp-133	محمد زمان رستمی اظهار کرد :
10.07.98-exp-134	هم اکنون یک دلار ده هزار تومان یا به عبارتی یک هزار ریال قیمت دارد ،
10.07.98-exp-135	این از نظر روانی برای کشور خوب نیست ،
10.07.98-exp-136	این یک هزار ریال را با کشورهای جهان سومی که این نسبت در آن کمتر است ، مقایسه می‌کنند .
10.07.98-exp-137	این مقایسه نتایج درستی را ارائه نمی‌دهد ،
10.07.98-exp-138	از نظر روانی برای مردم جامعه آسیب پذیر است .
10.07.98-exp-139	حذف این چهار صفر در اقتصاد هیچ تغییری ایجاد نمی‌کند
10.07.98-exp-14	مدیر اداره‌ی ثبت احوال مهاباد در گفت‌وگو با خبرنگار گروه استان‌های باشگاه خبرنگاران جوان از مهاباد
10.07.98-exp-140	بر روی هیچ نهاد اقتصادی و غیر اقتصادی تأثیری ندارد
10.07.98-exp-141	صرفاً اسم واحد پولی عوض می‌شود ،
10.07.98-exp-142	از نظر روانی بر روی جامعه اثر مطلوب‌تری می‌گذارد .
10.07.98-exp-143	عضو هیئت علمی دانشکده اقتصاد دانشگاه قم
10.07.98-exp-144	تأثیر این عملکرد بر حقوق کارگران
10.07.98-exp-145	کارگری که حقوق ماهیانه‌ی یک میلیون تومان یا به عبارتی ده میلیون ریال دارد ،
10.07.98-exp-146	بعد از این رویکرد حقوقش به یک واحد تغییر خواهد کرد ؛
10.07.98-exp-147	به طوری که خودش را فقیر حساب می‌کند ،
10.07.98-exp-148	این حس حقارت کاذب است و در اوایل این عملکرد و در کوتاه مدت رخ می‌دهد .
10.07.98-exp-149	این اشتباه در سال‌های پیش در ایام حج هم رخ داده بود ،
10.07.98-exp-15	از ابتدای سال تاکنون یک‌هزار و پانصد و شصت پسر متولد شده است
10.07.98-exp-150	هر هزار تومان معادل یک ریال سعودی بود
10.07.98-exp-151	کالایی که در ایران پنجاه هزار تومان قیمت داشت ، در عربستان پنجاه ریال فروخته می‌شد
10.07.98-exp-152	برخی از اشخاص از نظر روانی فریب می‌خوردند و کالا را می‌خریدند .
10.07.98-exp-153	این عملکرد مزیت اقتصادی ندارد ، ولی در حسابداری‌های کلان کار محاسبات را آسان‌تر می‌کند
10.07.98-exp-154	وجود صفرهای زیاد در واحد پول ملی امکان خطا را افزایش می‌دهد .
10.07.98-exp-155	صفر زمانی اهمیت پیدا می‌کند که در اقتصاد مفهومی داشته باشد
10.07.98-exp-156	امروزه پول کمتر از هزار تومان در اقتصاد کارکردی ندارد ، پس از نظر اقتصادی حذف صفرهای اضافی معقول است .
10.07.98-exp-157	امروز برخی از خریداران خودروهای داخلی در مقابل وزارت صنعت ، معدن و تجارت اعتراض کردند
10.07.98-exp-158	در اعتراض به برخی شرایط تحویل خودرو از جمله افزایش قیمت‌های اخیر
10.07.98-exp-159	این موضوع واکنش رضا رحمانی ، وزیر صمت را به دنبال داشت .
10.07.98-exp-16	نام محمد بیش‌ترین تعداد نام‌گذاری را به خود اختصاص داده است .
10.07.98-exp-160	طبق اعلام این وزارت‌خانه ، رحمانی در این زمینه اعلام کرد :
10.07.98-exp-161	وزیر صمت در کنار مردم و مطالبه‌گر حقوق مردم از خودروسازان است .
10.07.98-exp-162	از مدیران دو خودروساز بزرگ خواسته که براساس قراردادها روند تحویل خودروها تسریع شود .
10.07.98-exp-163	قراردادهای قطعی مشمول افزایش قیمت نمی‌شود .
10.07.98-exp-164	تجمع مشتریان خودروسازان مقابل وزارت صنعت
10.07.98-exp-165	درخواست تجمع کنندگان چیست ؟
10.07.98-exp-166	پس از صدور مجوز از سوی ستاد تنظیم بازار و سازمان حمایت مصرف‌کنندگان و تولیدکنندگان ،
10.07.98-exp-167	قیمت جدید خودروهای پرتیراژ داخلی اعلام شد .
10.07.98-exp-168	مسئول روابط عمومی اورژانس فسا گفت :
10.07.98-exp-169	واژگونی یک دستگاه خودرو نیسان حامل شیر در مسیر فسا خوشبختانه هیچ مصدومی نداشت .
10.07.98-exp-17	تعداد دختران متولد شده در شهرستان مهاباد یک‌هزار و صد و پانزده دختر بوده است
10.07.98-exp-170	این خودرو با داشتن دو هزار و پانصد لیتر شیر در این مسیر واژگون شد
10.07.98-exp-171	شهرستان فسا در فاصله صد و سی کیلومتری جنوب شرقی شیراز واقع شده است .
10.07.98-exp-172	واژگونی خودرو نیسان حامل شیر
10.07.98-exp-173	احمدرضا زنگنه ، سرپرست اداره فرهنگ و ارشاد اسلامی در جلسه با مدیران مؤسسات قرآنی
10.07.98-exp-174	کار در راه خدا و تبلیغ دین اسلام خستگی ندارد .
10.07.98-exp-175	هفت‌کل دارای ظرفیت‌های قرآنی بسیار خوبی است
10.07.98-exp-176	استعدادهای قرآنی نهفته و بالقوه‌ای دارد
10.07.98-exp-177	با همکاری همه‌جانبه‌ی اداره فرهنگ و ارشاد اسلامی و مؤسسات قرآنی بتوانیم این استعدادها را شکوفا کنیم .
10.07.98-exp-178	زنگنه عنوان کرد :
10.07.98-exp-179	وظایف مؤسسات قرآنی وظایف سنگینی است ،
10.07.98-exp-18	در بین موالید دختر نام آوان بیش‌تر از بقیه اسم‌ها به ثبت رسید .
10.07.98-exp-180	چون کار قرآنی تعهد در مقابل خداوند است ،
10.07.98-exp-181	ما خادمین قرآن باید طوری عمل کنیم که پیروز میدان و سربلند از این آزمون بیرون بیاییم .
10.07.98-exp-182	پیرامون آزمون قرآن کریم و نحوه انجام شایسته آن توسط مدیران قرآنی و کارکنان اداره فرهنگ و ارشاد اسلامی هفت‌کل
10.07.98-exp-183	مورد بحث و بررسی قرار گرفت .
10.07.98-exp-184	برپایی جلسه‌ی مدیران مؤسسات قرآنی با مسئولان فرهنگ و ارش
10.07.98-exp-185	پیتر آلتمایر وزیر اقتصاد آلمان
10.07.98-exp-186	از اتحادیه‌ی اروپا خواست زمان بیشتری به انگلیس بدهد تا در مورد چگونگی خروج از این اتحادیه تصمیم‌گیری کند .
10.07.98-exp-187	اتحادیه‌ی اروپا باید زمان بیشتری به انگلیس بدهد تا مردم به موضع مشخصی در این خصوص دست یابند .
10.07.98-exp-188	وزیر امور خارجه‌ی آلمان در واکنش به رأی منفی پارلمان انگلیس به طرح ترزا می گفت :
10.07.98-exp-189	فرصت زیادی برای یافتن راه حلی برای خروج انگلیس از اتحادیه اروپا باقی نمانده است
10.07.98-exp-19	محمد فراوان‌ترین نام ثبت شده برای نوزادان مهابادی است
10.07.98-exp-190	زمان بازی کردن به پایان رسیده است .
10.07.98-exp-191	آیا احتمال به تعویق انداختن زمان برنامه‌ریزی شده برای خروج انگلیس از اتحادیه‌ی اروپا وجود دارد ؟
10.07.98-exp-192	در صورتی که انگلیس چنین درخواستی به اتحادیه‌ی اروپا بدهد ، به صورت سازنده بررسی خواهد شد .
10.07.98-exp-193	طرح ترزا می ، نخست وزیر این کشور برای نحوه‌ی خروج از اتحادیه‌ی اروپا
10.07.98-exp-194	این بزرگ‌ترین شکست ترزا می در طول دوران نخست‌وزیری‌اش بوده است .
10.07.98-exp-195	قرار بود انگلیس در تاریخ بیست‌ونه مارس رسماً از اتحادیه اروپا جدا شود .
10.07.98-exp-196	تصاویر صفحه‌ی نخست روزنامه‌های امروز استان‌ها را با عناوین و تیترهای مختلف مشاهده کنید .
10.07.98-exp-197	مدیر کل کمیته امداد هرمزگان گفت :
10.07.98-exp-198	پنجاه و هفت میلیارد تومان تسهیلات اشتغال‌زایی به مددجویان زیر پوشش کمیته امداد هرمزگان پرداخت شده است .
10.07.98-exp-199	چهل و دو میلیارد تومان در بخش اشتغال‌زایی و پانزده میلیارد تومان نیز در زمینه‌ی کمک معیشتی بوده است .
10.07.98-exp-2	حداکثر مصرف روزانه‌ی آب شرب مهاباد در سال هفت‌صد و پنجاه لیتر بر ثانیه خواهد بود .
10.07.98-exp-20	سعید حاجیان ، فرماندار شهرستان شادگان گفت :
10.07.98-exp-200	امسال پنجاه و شش میلیارد تومان تسهیلات اشتغال از محل منابع بانکی در استان اختصاص یافته
10.07.98-exp-201	هفتاد و پنج درصد این منابع تاکنون جذب شده است .
10.07.98-exp-202	با این منابع زمینه‌ی اشتغال سه هزار و سی‌صد نفر فراهم شده است .
10.07.98-exp-203	با هدف خدمت‌رسانی بهتر به مناطق محروم استان
10.07.98-exp-204	پنج منطقه‌ی ویژه‌ی خدمت‌رسانی در جاسک ، بشاگرد ، فین و سیاهو در بندرعباس و کوهشا احمدی در حاجی آباد
10.07.98-exp-205	به‌صورت ویژه به مشکلات معیشتی و مسکن مددجویان رسیدگی می‌شود .
10.07.98-exp-206	پرداخت تسهیلات اشتغال‌زایی به مددجویان هرمزگانی
10.07.98-exp-207	حوزه‌ی فن‌آوری گروه علمی پزشکی باشگاه خبرنگاران جوان ،
10.07.98-exp-208	منوچهر منطقی ، دبیر ستاد توسعه‌ی فناوری‌های فضایی ، حمل و نقل پیشرفته‌ی معاونت علمی و فناوری ریاست جمهوری
10.07.98-exp-209	وضعیت ایران در زمینه‌ی پهپاد ،
10.07.98-exp-21	با توجه به مساعد شدن شرایط جوی در این شهرستان ،
10.07.98-exp-210	در حال حاضر ایران در حوزه‌ی پهپاد جایگاه خوبی دارد ،
10.07.98-exp-211	در این زمینه هنوز هم راه نرفته‌ی زیادی هست که باید طی کنیم .
10.07.98-exp-212	دبیر ستاد توسعه‌ی فناوری‌های فضایی ، حمل و نقل پیشرفته‌ی معاونت علمی
10.07.98-exp-213	در تلاش هستیم طی یک فرآیند کوتاه مدت برای پهپادهای ایرانی ، نشان تجاری ثبت کنیم .
10.07.98-exp-214	جوانان ایرانی که در صنعت پهپاد فعالیت می‌کنند بیست سال از متخصصین دیگر کشورها جوان‌تر هستند .
10.07.98-exp-215	فعالیت آن‌ها با متخصصان خارجی کاملاً قابل رقابت است .
10.07.98-exp-216	پهپادها پرچم‌دار تغیر و تحول در قرن جدید هستند
10.07.98-exp-217	به همین دلیل باید با هم‌افزایی نیروهای موجود در کشور به دنبال توسعه‌ی این صنعت باشیم .
10.07.98-exp-218	وی هم‌چنین عنوان کرد :
10.07.98-exp-219	حضور جوانان متخصص ایرانی یکی از نقاط قوت ایران در صنعت پهپاد است
10.07.98-exp-22	کلیه‌ی مدارس نوبت عصر امروز چهارشنبه بیست‌وشش دی‌ماه دایر هستند .
10.07.98-exp-220	باید از این توان‌مندی و پتانسیل به خوبی استفاده کرد .
10.07.98-exp-221	حضور جوانان متخصص ایرانی از نقاط قوت ایران در صنعت پهپاد
10.07.98-exp-222	سرهنگ علی ولی‌پور گودرزی معاون مبارزه با جرایم جنایی پلیس آگاهی تهران بزرگ اظهار کرد :
10.07.98-exp-223	وقوع یک آتش‌سوزی در یک واحد مسکونی در خیابان چهارده معصوم به کلانتری صد و پنجاه و یک اعلام شد
10.07.98-exp-224	با حضور مأموران کلانتری صد و پنجاه و یک و تیم آتش‌نشانی در محل ، اطفای حریق انجام شد .
10.07.98-exp-225	در ادامه و با اعلام نظریه‌ی کارشناسی سازمان آتش‌نشانی مبنی بر عمدی بودن آتش سوزی ،
10.07.98-exp-226	پرونده‌ی مقدماتی با موضوع حریق عمدی تشکیل و جهت ادامه رسیدگی در اختیار پلیس آگاهی تهران بزرگ قرار گرفت .
10.07.98-exp-227	کارآگاهان اداره‌ی شانزدهم پلیس آگاهی تهران بزرگ ،
10.07.98-exp-228	در تحقیقات میدانی ضمن شناسایی دوربین‌های مداربسته به بررسی تصاویر از زمان و محدوده‌ی آتش‌سوزی پرداختند .
10.07.98-exp-229	در بررسی تصاویر موفق به شناسایی جوانی حدوداً بیست‌وپنج ساله شدند
10.07.98-exp-23	شرایط جوی و بارش شدید باران و وقوع رعد و برق و وزش باد نسبتاً شدید
10.07.98-exp-230	به سمت ساختمان محل وقوع آتش‌سوزی رفته و دقایقی قبل از شعله‌ور شدن آتش از آن‌جا خارج شده است .
10.07.98-exp-231	پس از رؤیت تصاویر بدست آمده از دوربین‌های مداربسته ، جوان داخل تصاویر بلافاصله شناسایی شد .
10.07.98-exp-232	در اظهاراتش به کارآگاهان گفت :
10.07.98-exp-233	حدود چهار سال پیش بود که در محدوده چهارراه سیروس به جوانی به نام فرزاد آشنا شدم
10.07.98-exp-234	در آن‌جا دست‌فروشی می‌کرد ؛
10.07.98-exp-235	به او پیش‌نهاد دادم تا کار دیگری را برای خود انتخاب کند ،
10.07.98-exp-236	از آن جایی که به ظاهر جوانی موجه و باادب به نظر می‌رسید به او عنوان کردم که اتاقکی در محل سکونتم دارم
10.07.98-exp-237	می‌تواند در آن‌جا زندگی و استراحت کند .
10.07.98-exp-238	این جوان پیش‌نهاد و دعوت مرا قبول کرد و پس از آن در خانه‌ی من زندگی می‌کرد
10.07.98-exp-239	در همین اواخر به عنوان طلبکار از من درخواست پول کرد
10.07.98-exp-24	مدارس نوبت صبح در این شهرستان تعطیل شدند .
10.07.98-exp-240	من نیز به همین علت با او درگیر شده و او را از خانه ام بیرون کردم .
10.07.98-exp-241	با توجه به اظهارات شاکیه ، دستگیری فرزاد در دستور کار کارآگاهان اداره شانزدهم قرار گرفت
10.07.98-exp-242	در همان مراحل اولیه‌ی مشخص شد که شاکیه هیچ‌گونه مدرک شناسایی و یا قراردادی تنظیم نکرده است .
10.07.98-exp-243	جهت کرایه‌ی اتاقک محل زندگی فرزاد در طول چهار سال گذشته
10.07.98-exp-244	با توجه به بلامکان بودن فرزاد ، اقدامات ویژه پلیسی جهت دستگیری فرزاد در دستور کار پلیس آگاهی قرار گرفت
10.07.98-exp-245	محل تردد فرزاد در محدوده‌ی میدان شوش که در آن‌جا دست فروشی می‌کرد شناسایی و دست‌گیر شد .
10.07.98-exp-246	فرزاد پس از انتقال به اداره‌ی شانزدهم پلیس آگاهی صراحتاً به آتش زدن خانه‌ی شاکیه اعتراف کرد
10.07.98-exp-247	در خصوص انگیزه‌ی خود به کارآگاهان گفت :
10.07.98-exp-248	طی این چند سال که در خانه‌ی شاکیه زندگی می‌کردم ، وی مرا به عنوان کارگر خدماتی به خانه‌ی مردم می‌فرستاد .
10.07.98-exp-249	علاوه بر آن ، کار نظافت خانه‌ی او را نیز انجام می‌دادم .
10.07.98-exp-25	مدارس خوزستان دایر هستند
10.07.98-exp-250	حتی شاکیه در طول این سال‌ها مرا برای انجام کارهای کشاورزی به شمال می‌فرستاد
10.07.98-exp-251	در آن‌جا تمامی کارهای کشاورزی را که او می‌خواست برایش انجام می‌دادم
10.07.98-exp-252	با این وجود هیچ‌گونه پولی بابت کارکردن در خانه‌های مردم به من پرداخت نکرد
10.07.98-exp-253	از او درخواست کردم تا دستمزد این چند سال کار کردن را به من پرداخت کند
10.07.98-exp-254	در کمال تعجب شاکیه مدعی شد که هیچ‌گونه بدهی به من ندارد
10.07.98-exp-255	پس از آن نیز مرا از خانه اش بیرون کرد
10.07.98-exp-256	کینه‌ی شدیدی از او به دل گرفته بودم تا این‌که تصمیم گرفتم تا خانه اش را آتش بزنم
10.07.98-exp-257	شب حادثه زمانی که او از خانه خارج شده بود ، وارد خانه شدم و با بنزین آن‌جا را آتش زدم
10.07.98-exp-258	به سرعت با موتورسیکلت از محل دور شدم .
10.07.98-exp-259	با توجه به اعتراف صریح متهم ، قرار قانونی از سوی دادیار شعبه‌ی دهم دادسرای ناحیه‌ی هجده تهران صادر شد
10.07.98-exp-26	گزارش خبرنگار گروه استان های باشگاه خبرنگاران جوان از سنندج
10.07.98-exp-260	متهم جهت ادامه‌ی تحققات تکمیلی پرونده در اختیار اداره‌ی شانزدهم پلیس آگاهی تهران بزرگ قرار گرفته است .
10.07.98-exp-261	خلیل رجب‌علی رئیس اداره‌ی صنعت ، معدن و تجارت گنبدکاووس
10.07.98-exp-262	نمایشگاه جهیزیه ، مبلمان و لوازم خانگی از دیروز فعالیت خود را آغاز کرده و تا دی‌ماه جاری برپا خواهد بود .
10.07.98-exp-263	انواع مبلمان ، جهیزیه ، لوازم خانگی ، فرش ، تابلو فرش ، لوستر ، کالای خواب و دکوراسیون داخلی
10.07.98-exp-264	از سوی تولیدکنندگان در این نمایشگاه عرضه می‌شود .
10.07.98-exp-265	این نمایشگاه دارای بیست‌ودو غرفه بزرگ است
10.07.98-exp-266	تولیدکنندگان سه استان خراسان رضوی ، آذربایجان شرقی و گلستان در آن حضور دارند .
10.07.98-exp-267	کالاهای ارائه‌شده در این نمایشگاه با تخفیف و پانزده تا بیست درصد کمتر از قیمت بازار عرضه می‌شود .
10.07.98-exp-268	حمایت از کالای ایرانی با عرضه‌ی مستقیم کالا از تولیدکنندگان به مصرف‌کنندگان و کنترل و تنظیم قیمت‌ها
10.07.98-exp-269	این ، از اهداف برپایی چهارمین نمایشگاه جهیزیه ، مبلمان و لوازم خانگی در گنبدکاووس است .
10.07.98-exp-27	رئیس سازمان آتش‌نشانی و خدمات ایمنی شهرداری سنندج ،
10.07.98-exp-270	این نمایشگاه ، هر روز از ساعت شانزده تا بیست‌ویک درمحل انبار اداره‌ی غله واقع در پشت شرکت گاز دایر است .
10.07.98-exp-271	نمایشگاه مبلمان و لوازم خانگی در گنبد کاووس برپا شد
10.07.98-exp-272	صابر سهرابی مدیر کل فرهنگ و ارشاد اسلامی فارس
10.07.98-exp-273	در پی درگذشت بیژن سمندر پاسبان لهجه‌ی شیرازی ، مراسمی با عنوان کوچ شاعر شهر برپا می‌شود .
10.07.98-exp-274	برای گرامی داشت نام این شاعر
10.07.98-exp-275	این برنامه با مشارکت اداره‌ی کل فرهنگ و ارشاد اسلامی و کتابخانه‌ی ملی فارس و شهرداری شیراز برگزار می‌شود
10.07.98-exp-276	هیچ محدودیتی در گرامی‌داشت یاد هنرمندان و ادیبان این دیار وجود ندارد .
10.07.98-exp-277	مراسم کوچ شاعر شهر به زودی در مرکز اسناد و کتابخانه‌ی ملی فارس برگزار می‌شود
10.07.98-exp-278	جزئیات آن برای شهروندان اطلاع‌رسانی می‌شود .
10.07.98-exp-279	برپایی مراسم بزرگداشت پاسبان لهجه‌ی شیرازی در شیراز
10.07.98-exp-28	در نه ماهه‌ی امسال هزار و شانزده عملیات اطفای حریق و امداد نجات در سطح شهر انجام شده
10.07.98-exp-280	حمید سالاری معاو ن حمل و نقل اداره‌ی کل راهداری و حمل و نقل جاده‌ای استان قم
10.07.98-exp-281	بیش از سه هزار و پانصد حلقه لاستیک بین خودروهای سنگین ناوگان درون شهری در استان توزیع شد .
10.07.98-exp-282	وضعیت حرکت خودروهای ناوگان سنگین به صورت هوشمند مورد پیمایش قرار می‌گیرد
10.07.98-exp-283	میزان عملکرد این خودروها به صورت کامل مشخص است
10.07.98-exp-284	هر کدام از این خودروها به ازای سی هزار کیلومتر یک حلقه لاستیک می‌گیرند .
10.07.98-exp-285	رئیس رسانه‌ی ملی درگذشت حسین محب اهری را به جامعه هنری کشور تسلیت گفت .
10.07.98-exp-286	متن این پیام به این شرح است :
10.07.98-exp-287	إنا لله و إنا الیه راجعون
10.07.98-exp-288	درگذشت هنرمند پیش‌کسوت و متعهد تئاتر ، سینما و تلویزیون آقای حسین محب اهری را تسلیت عرض می‌کنم .
10.07.98-exp-289	از خداوند برای آن مرحوم رحمت و مغفرت و برای بازماندگان صبر و اجر مسئلت دارم .
10.07.98-exp-29	پانصد و هفتاد و هشت عملیات مربوط به اطفای حریق و چهارصد عملیات مربوط به امداد و نجات بوده است .
10.07.98-exp-290	علی عسکری رئیس سازمان صدا و سیما
10.07.98-exp-291	بسیاری از مردم از کودک و نوجوان تا بزرگسال و کهن‌سال با نقش‌آفرینی‌های او خاطره‌ها دارند
10.07.98-exp-292	فرمانده یگان‌های حفاظت جنگل‌ها ، مراتع و آبخیز داری کل کشور در سمنان
10.07.98-exp-293	امسال چندین دستگاه تجهیزات و امکانات انفرادی اطفای حریق خریداری و به استان‌ها واگذارشده است .
10.07.98-exp-294	سرهنگ علی عباسی‌نژاد فرمانده یگان حفاظت جنگل ها ، مراتع و آبخیز داری کل کشور
10.07.98-exp-295	در گفت‌وگو با خبرنگار گروه استان های باشگاه خبرنگاران جوان از سمنان ،
10.07.98-exp-296	حجم آتش‌سوزی‌ها در مناطق شمالی کشور زیاد است :
10.07.98-exp-297	امسال چندین دستگاه تجهیزات و امکانات انفرادی اطفای حریق خریداری و به استان‌ها واگذارشده است .
10.07.98-exp-298	با برگزاری مانورها و آموزش‌های اطفای حریق
10.07.98-exp-299	بتوانیم سطح آتش‌سوزی و آسیب‌های وارده به منابع طبیعی را به کمترین میزان کاهش دهیم .
10.07.98-exp-3	بر این اساس
10.07.98-exp-30	چهل و هشت فقره خودرو و ماشین آلات ، بیست‌ونه فقره تجاری ، نوزده فقره ضایعات و زباله ،
10.07.98-exp-300	از برخورد جدی و قاطع با قاچاقچیان چوب خبر داد
10.07.98-exp-301	نیروهای ما از هیچ تلاشی برای برخود با قاچاقچیان دریغ نمی کنند
10.07.98-exp-302	دستگیری‌ها و مقابله با این عوامل قاچاق در سطح کشور تحت نظارت و کنترل دقیق است .
10.07.98-exp-303	برای بحث اطفای حریق جنگل‌ها و مراتع در منابع طبیعی امسال اعتبارات قابل قبولی در نظر گرفته شده
10.07.98-exp-304	با توجه به نوسانات ارزی بیان میزان اعتبارات مشکلی را حل نمی‌کند
10.07.98-exp-305	نکته‌ی مهم خدمات صورت گرفته ، تجهیزات خریداری‌شده و تجهیز گشت‌ها است .
10.07.98-exp-306	حضور فرمانده یگان‌های حفاظت جنگ‌ها ، مراتع و آبخیز داری کل کشور در سمنان
10.07.98-exp-307	حجت‌الاسلام رحیم جعفری مدیر کل فرهنگ و ارشاد اسلامی استان کرمانشاه
10.07.98-exp-308	باتوجه به نقش پررنگ و اهمیت رسانه‌های دیجیتال و فضای مجازی در زندگی امروز مردم ،
10.07.98-exp-309	امسال برای اولین بار جشنواره‌ی اقوام در این حوزه هم برگزار می‌شود
10.07.98-exp-31	تاسیسات شهری و اداری چهارده مورد ، مراکز آموزشی ، صنعتی و انبار شش مورد ، مراکز بهداشتی و درمانی یک مورد
10.07.98-exp-310	میزبانی آن به استان کرمانشاه واگذار شده است .
10.07.98-exp-311	از آن‌جا که کرمانشاه دارای تنوع قومی و مذهبی است وزارت ارشاد میزبانی این جشنواره را به استان کرمانشاه واگذار کرد .
10.07.98-exp-312	مدیر کل فرهنگ و ارشاد اسلامی استان کرمانشاه در ادامه هدف از برگزاری این جشنواره را اعلام کرد .
10.07.98-exp-313	شناسایی آثار و محصولات دیجیتال مربوط به اقوام مختلف ایرانی و معرفی این آثار
10.07.98-exp-314	هم‌چنین درتلاش‌ایم تا با نشر این آثار دایره‌ی انسجام و وحدت اقوام ایرانی را تقویت کنیم
10.07.98-exp-315	به حفظ میراث معنوی کهن مردم این سرزمین کمک کنیم .
10.07.98-exp-316	این جشنواره در پنج بخش برگزار خواهد شد .
10.07.98-exp-317	پایگاه‌های اینترنتی ، بازی‌ها و سرگرمی تلفن هم‌راه ، شبکه‌های اجتماعی ، نرم افزارهای تلفن هم‌راه و هنرهای دیجیتال ( انیمشین ، موشن‌گرافی ، اینفوگرافیک ، عکس )
10.07.98-exp-318	جعفری مهلت ارسال آثار به این جشنواره را تا بیست‌وپنج بهمن اعلام کرد
10.07.98-exp-319	زبان ، آشپزی ، لباس ، آداب و رسوم ، صنایع دستی و بازی‌ها نیز محورهای آثار این جشنواره است .
10.07.98-exp-32	پنج فقره نیز مربوط به سایر عملیات اطفای حریق بوده است .
10.07.98-exp-320	مدیر کل فرهنگ و ارشاد اسلامی استان یادآورشد :
10.07.98-exp-321	علاقه‌مندان به شرکت در این جشنواره می‌توانند آثار خود را به دبیرخانه‌ی جشنواره ارسال کنند .
10.07.98-exp-322	کرمانشاه ، میدان فردوسی ، ابتدای خیابان دل‌گشا ، مرکز هنرهای دیجیتال ، مؤسسه‌ی فرهنگی دیجیتال گلاتک
10.07.98-exp-323	جعفری زمان برگزاری این جشنواره را پانزده اسفند اعلام کرد :
10.07.98-exp-324	این جشنواره توسط بخش خصوصی برگزار می‌شود .
10.07.98-exp-325	به گفته‌ی این مسئول جشنواره‌ی اقوام ایرانی نیز اواخر امسال یا اوایل سال آینده در کرمانشاه برگزار می‌شود .
10.07.98-exp-326	نقش پررنگ و اهمیت رسانه‌های دیجیتال و فضای مجازی در زندگی امروزه مردم
10.07.98-exp-327	پیرو تفاهم صورت گرفته با مؤسسه‌ی آوای هنر سلامت ، آثار تولید شده داوری می‌شوند .
10.07.98-exp-328	در وزارت بهداشت ، درمان و آموزش پزشکی به دبیرخانه‌ی جشنواره‌ی فیلم تبلیغاتی تهران تحویل داده شد
10.07.98-exp-329	مجموع این آثار با موضوع سلامت در بخش مسئولیت اجتماعی تحویل داده شده است .
10.07.98-exp-33	ترویج فرهنگ ایمنی و ارتقای سطح آگاهی شهروندان در راستای پیشگیری از بروز حوادث احتمالی
10.07.98-exp-330	جشنواره‌ی فیلم تبلیغاتی تهران در نظر دارد نشست هم‌اندیشی جایگاه تبلیغات در حوزه‌ی سلامت را برگزار کند .
10.07.98-exp-331	در ایام برگزاری این جشنواره
10.07.98-exp-332	جشنواره‌ی فیلم‌های تبلیغاتی تهران
10.07.98-exp-333	با هدف ایجاد رقابت سالم و معرفی الگوهای برتر ، کمک به نوآوری و اثربخشی تبلیغات ،
10.07.98-exp-334	تقویت ایده‌های خلاق ، انتخاب و معرفی عوامل تولیدکننده
10.07.98-exp-335	با آثار برتر شرکت‌های تولیدکننده‌ی آثار تبلیغاتی سمعی و بصری ، برپا خواهد شد .
